name,department,email,salary,years_at_company,start_date
Alisha Lewis,Sales,alisha.lewis@polars.io,60832,1,2023-09-27
Adrian Sanchez,Marketing,adrian.sanchez@polars.io,112381,2,2023-06-01
Christopher Lopez,Finance,christopher.lopez@polars.io,187070,1,2024-05-26
Ryan Stewart,Engineering,ryan.stewart@polars.io,150298,7,2018-02-17
Daniel Lee,Engineering,daniel.lee@polars.io,180853,0,2025-05-26
Bradley Brown,Finance,bradley.brown@polars.io,142898,0,2025-02-18
Heather Huber,Engineering,heather.huber@polars.io,160987,6,2019-05-20
Phillip Roberts MD,Sales,phillip.md@polars.io,58007,0,2025-05-07
Michael Smith,Marketing,michael.smith@polars.io,122414,2,2023-01-30
Melanie Wiley,Engineering,melanie.wiley@polars.io,177372,9,2016-03-03
Daniel Smith,Marketing,daniel.smith@polars.io,86091,5,2020-01-24
Gary Johnson,Operations,gary.johnson@polars.io,87460,6,2018-12-26
Sara Erickson,HR,sara.erickson@polars.io,77814,6,2018-07-30
Amber Rodriguez,Finance,amber.rodriguez@polars.io,182684,6,2018-08-20
Joshua Jones,Finance,joshua.jones@polars.io,141860,1,2024-05-10
Elizabeth Rivera,Marketing,elizabeth.rivera@polars.io,127606,0,2025-04-26
Thomas Gonzalez,Sales,thomas.gonzalez@polars.io,82264,9,2015-11-14
Stephen Rhodes,Finance,stephen.rhodes@polars.io,194572,10,2014-12-07
Susan Carroll,Operations,susan.carroll@polars.io,120063,6,2019-01-16
Robert Green,,robert.green@polars.io,56888,10,2015-05-14
Kelsey Ferrell,HR,kelsey.ferrell@polars.io,91989,1,2023-12-19
Christina Dawson,HR,christina.dawson@polars.io,63012,1,2024-03-05
Bethany Adams,Marketing,bethany.adams@polars.io,100593,0,2024-07-21
Kristy Ho,Finance,kristy.ho@polars.io,188788,9,2015-10-03
Aaron Scott,Operations,aaron.scott@polars.io,123898,5,2019-10-26
Samantha Johnson,,samantha.johnson@polars.io,61241,6,2018-08-14
Nathan Blanchard,Marketing,nathan.blanchard@polars.io,96290,7,2018-01-22
Brooke Gillespie,Marketing,brooke.gillespie@polars.io,124321,10,2015-01-03
Taylor Brown,Operations,taylor.brown@polars.io,134986,8,2016-09-08
Stacey Tapia,Sales,stacey.tapia@polars.io,55763,10,2015-04-30
Kayla Lawson,,kayla.lawson@polars.io,85755,7,2018-04-25
Adam Harris,Sales,adam.harris@polars.io,87220,5,2020-03-16
James Smith,Engineering,james.smith@polars.io,156458,0,2024-10-30
Anthony Perez,Operations,anthony.perez@polars.io,116077,10,2015-01-07
Alexandra Williams,HR,alexandra.williams@polars.io,75400,1,2023-11-24
Sean Henderson,HR,sean.henderson@polars.io,97554,7,2018-06-03
Steven Lopez,Finance,steven.lopez@polars.io,185333,7,2018-02-07
Blake Nelson,Sales,blake.nelson@polars.io,87595,10,2015-07-10
Tonya Bartlett,Sales,tonya.bartlett@polars.io,81439,6,2019-06-30
Brittany Garrison,,brittany.garrison@polars.io,55011,1,2023-09-11
James Phillips,,james.phillips@polars.io,74962,8,2016-10-04
Joshua Murray,Operations,joshua.murray@polars.io,122899,10,2014-11-28
Jose Johnson,Engineering,jose.johnson@polars.io,167624,0,2025-03-24
Sean Faulkner,Finance,sean.faulkner@polars.io,179566,5,2019-10-05
Katherine Chang,Finance,katherine.chang@polars.io,198636,7,2017-08-16
Andrew Schaefer,Engineering,andrew.schaefer@polars.io,179314,1,2024-05-28
Caitlin Smith,Finance,caitlin.smith@polars.io,149064,0,2025-01-23
Jessica Miller,Engineering,jessica.miller@polars.io,158270,8,2016-10-24
John Brown,Engineering,john.brown@polars.io,133935,0,2025-04-23
Ashley Woods,HR,ashley.woods@polars.io,69204,6,2019-05-25
Gary Nichols,Engineering,gary.nichols@polars.io,145679,3,2022-05-17
Danielle Hunt,Finance,danielle.hunt@polars.io,171497,3,2021-11-25
Jorge Murray,Finance,jorge.murray@polars.io,144979,5,2020-05-23
Shaun Krueger,Finance,shaun.krueger@polars.io,174325,0,2024-08-26
Sandra Brooks,Finance,sandra.brooks@polars.io,197176,1,2023-11-29
Dustin Doyle,HR,dustin.doyle@polars.io,98621,8,2017-05-11
Robert Rios,HR,robert.rios@polars.io,60284,8,2017-06-24
Donna Anderson,,donna.anderson@polars.io,83364,9,2015-11-14
Eric Ward,,eric.ward@polars.io,66613,9,2016-04-21
Angela Garrison,Marketing,angela.garrison@polars.io,133427,2,2023-05-25
Angela Kline,HR,angela.kline@polars.io,99357,9,2016-02-05
Stacy Fischer,,stacy.fischer@polars.io,80209,6,2018-09-10
Emily Fuentes,Marketing,emily.fuentes@polars.io,129962,3,2022-02-27
Frances Oconnor,,frances.oconnor@polars.io,82469,4,2020-11-28
Katherine Sanders,Finance,katherine.sanders@polars.io,137481,2,2022-12-18
Faith Zamora,,faith.zamora@polars.io,88573,4,2020-07-23
Eric Lowery,,eric.lowery@polars.io,75572,8,2016-08-29
Craig Wiley,Operations,craig.wiley@polars.io,93165,3,2021-09-01
Tracy Bennett,Marketing,tracy.bennett@polars.io,99043,10,2015-01-24
Tamara Ward,Marketing,tamara.ward@polars.io,88694,10,2015-04-19
Louis Hughes,,louis.hughes@polars.io,76127,1,2024-01-18
Juan Morrow,,juan.morrow@polars.io,86481,9,2015-09-30
Thomas Roberts,Marketing,thomas.roberts@polars.io,126538,6,2018-08-07
Trevor Kennedy,Marketing,trevor.kennedy@polars.io,138580,8,2017-02-22
Dr. Selena Allen,Finance,dr..allen@polars.io,175363,0,2024-10-22
Monica Peters,Sales,monica.peters@polars.io,56656,6,2019-05-05
Dr. April Smith,Sales,dr..smith@polars.io,58709,3,2022-03-03
Denise Moore,Finance,denise.moore@polars.io,141094,4,2020-08-02
Laurie Jimenez,Engineering,laurie.jimenez@polars.io,139192,0,2024-07-28
Mrs. Patricia Scott PhD,Finance,mrs..phd@polars.io,158684,3,2021-10-13
Daniel Scott,Sales,daniel.scott@polars.io,78506,7,2018-05-27
Melissa Collins,,melissa.collins@polars.io,69700,10,2014-10-05
Brian Mills,HR,brian.mills@polars.io,75571,8,2016-07-27
Michael Davis,Engineering,michael.davis@polars.io,126157,6,2019-01-01
Joyce Kent,HR,joyce.kent@polars.io,80490,8,2017-06-21
Randall Powell,Sales,randall.powell@polars.io,71471,3,2021-09-03
Michael Phillips,Finance,michael.phillips@polars.io,178073,3,2021-08-27
Theresa Case,Marketing,theresa.case@polars.io,126500,10,2015-01-12
Alexandra Dunn,Finance,alexandra.dunn@polars.io,197120,8,2016-09-13
Justin Smith,Operations,justin.smith@polars.io,130865,3,2022-02-17
Kevin Nielsen,HR,kevin.nielsen@polars.io,71627,10,2015-06-11
Courtney Hampton,Operations,courtney.hampton@polars.io,91389,8,2017-05-18
Jennifer Alexander,HR,jennifer.alexander@polars.io,62663,6,2019-02-26
Stephanie Williams,,stephanie.williams@polars.io,72317,2,2023-04-26
Stacey Jones DVM,,stacey.dvm@polars.io,71712,0,2025-01-28
Rebecca Vasquez,HR,rebecca.vasquez@polars.io,70145,0,2025-04-29
Mrs. Shelby Heath,Engineering,mrs..heath@polars.io,198234,0,2024-08-30
Marie Rangel,,marie.rangel@polars.io,74736,7,2017-09-28
Stephanie Contreras,,stephanie.contreras@polars.io,78467,1,2023-07-20
Sierra Padilla,Engineering,sierra.padilla@polars.io,188864,3,2022-04-14
Kathryn Garcia,,kathryn.garcia@polars.io,59468,8,2017-04-28
Andrew Scott,HR,andrew.scott@polars.io,95591,8,2016-12-24
Lorraine Martinez,Sales,lorraine.martinez@polars.io,77898,3,2022-03-30
Kristopher Welch,Marketing,kristopher.welch@polars.io,101750,5,2020-01-15
Joseph Harvey,Engineering,joseph.harvey@polars.io,148632,9,2015-10-21
Angela Thomas,HR,angela.thomas@polars.io,96787,10,2015-07-15
Katherine Bentley,Sales,katherine.bentley@polars.io,77675,7,2018-03-17
Michael Ward,Marketing,michael.ward@polars.io,120219,9,2016-03-16
Erin Mercer,Sales,erin.mercer@polars.io,76032,6,2019-05-21
Maurice Brown,HR,maurice.brown@polars.io,76815,8,2017-02-24
Mark Martinez,Sales,mark.martinez@polars.io,88873,5,2019-10-28
Nicole Francis,Finance,nicole.francis@polars.io,186680,7,2017-11-11
Katherine Roberts,Sales,katherine.roberts@polars.io,74427,10,2015-04-12
Jon Smith,Engineering,jon.smith@polars.io,187357,1,2024-05-28
Richard George,Operations,richard.george@polars.io,130680,8,2016-10-18
Zachary Davis,Sales,zachary.davis@polars.io,59290,3,2021-08-08
David Jones,Marketing,david.jones@polars.io,130697,3,2021-08-01
Isaac Hansen,HR,isaac.hansen@polars.io,66810,3,2021-10-15
Sean Johnson,Finance,sean.johnson@polars.io,177047,10,2015-06-13
Albert Combs,Marketing,albert.combs@polars.io,124960,2,2023-07-05
Courtney Thompson,HR,courtney.thompson@polars.io,81739,0,2025-06-02
Julie Porter,Sales,julie.porter@polars.io,58556,2,2023-03-11
Anthony Reyes,,anthony.reyes@polars.io,59616,9,2016-03-24
Beverly Johnson,Engineering,beverly.johnson@polars.io,173429,6,2018-11-30
Daniel Daniel,Marketing,daniel.daniel@polars.io,106505,6,2019-02-07
Ernest Williams,Sales,ernest.williams@polars.io,80526,10,2015-05-20
George Thomas,,george.thomas@polars.io,55386,10,2014-09-06
Craig Young,Sales,craig.young@polars.io,57982,1,2024-01-15
Ryan Lyons,,ryan.lyons@polars.io,61955,4,2020-07-31
Jack Tanner,Engineering,jack.tanner@polars.io,199503,1,2024-02-23
Kayla Mendez,Finance,kayla.mendez@polars.io,177367,6,2018-12-28
Mr. Alexander Forbes DVM,Finance,mr..dvm@polars.io,124039,7,2018-04-29
Alyssa Harper DDS,,alyssa.dds@polars.io,69409,2,2022-12-29
Amy Rice,Finance,amy.rice@polars.io,191529,4,2020-08-27
Ronald Brooks,Operations,ronald.brooks@polars.io,99533,10,2014-08-22
Gina Williams,Engineering,gina.williams@polars.io,121461,8,2016-10-07
Andrew Lowery,Operations,andrew.lowery@polars.io,88076,0,2025-07-14
Sherry Wilson,,sherry.wilson@polars.io,80826,8,2016-10-11
Brandi Byrd,Sales,brandi.byrd@polars.io,74968,3,2022-01-22
Teresa Montoya,Operations,teresa.montoya@polars.io,107043,10,2014-10-30
Rebecca Reilly,Operations,rebecca.reilly@polars.io,90548,2,2023-03-26
Brandon Robbins,,brandon.robbins@polars.io,71563,3,2022-05-20
Morgan Zimmerman,Operations,morgan.zimmerman@polars.io,123973,9,2016-06-21
David Macias,Finance,david.macias@polars.io,191939,7,2017-08-22
Jeremy Glover,,jeremy.glover@polars.io,59793,4,2020-08-08
Craig Ramirez,Sales,craig.ramirez@polars.io,71429,1,2024-04-06
Kristin Taylor,Marketing,kristin.taylor@polars.io,118049,7,2018-01-30
Joe Cruz,Engineering,joe.cruz@polars.io,136805,10,2014-08-18
Antonio Hernandez,Operations,antonio.hernandez@polars.io,86556,4,2020-09-03
Kathryn Hickman,Sales,kathryn.hickman@polars.io,67681,5,2019-11-12
Randall Cox,HR,randall.cox@polars.io,81518,9,2015-08-16
Andrew Jones,Engineering,andrew.jones@polars.io,196568,2,2022-10-01
Jennifer Strong,,jennifer.strong@polars.io,78887,5,2019-12-11
Francisco Krueger,Operations,francisco.krueger@polars.io,80316,5,2020-03-13
Scott Mccarthy,Finance,scott.mccarthy@polars.io,149035,10,2014-12-08
Danny Butler,Engineering,danny.butler@polars.io,167118,2,2022-08-04
Melanie Ballard,Marketing,melanie.ballard@polars.io,101729,7,2017-11-24
Steven Lawrence,HR,steven.lawrence@polars.io,83510,4,2020-11-10
Isabella Smith,,isabella.smith@polars.io,62132,2,2022-08-21
Robert Brown,,robert.brown@polars.io,60372,4,2021-05-07
Sarah Barnett,,sarah.barnett@polars.io,67873,4,2020-08-31
Robert Jennings,Sales,robert.jennings@polars.io,59941,0,2024-10-30
Colin Weaver,Marketing,colin.weaver@polars.io,82044,9,2015-09-26
Amy James,HR,amy.james@polars.io,98668,3,2022-06-29
Sarah Thompson,,sarah.thompson@polars.io,72079,8,2016-10-15
Adam Sanchez,HR,adam.sanchez@polars.io,69740,5,2019-12-30
Kathleen Johnson,Operations,kathleen.johnson@polars.io,138421,9,2016-02-21
James Blake,Operations,james.blake@polars.io,110454,8,2016-10-30
Tina Rodriguez,Sales,tina.rodriguez@polars.io,81003,5,2019-11-03
Timothy Mcdaniel,Sales,timothy.mcdaniel@polars.io,70655,9,2015-08-03
April Copeland,Operations,april.copeland@polars.io,129624,8,2017-05-08
Carol Schultz,HR,carol.schultz@polars.io,70434,2,2022-10-01
Kyle Mccall MD,,kyle.md@polars.io,64581,7,2018-01-16
Dylan Mitchell,Sales,dylan.mitchell@polars.io,69340,7,2018-03-22
Jeffrey Petty,Sales,jeffrey.petty@polars.io,72324,5,2020-03-20
Dr. Cheryl Hernandez MD,Sales,dr..md@polars.io,68551,8,2017-01-15
Brenda Wright,HR,brenda.wright@polars.io,90780,7,2018-06-25
Wesley Haynes,Sales,wesley.haynes@polars.io,76238,1,2023-07-22
Donna Brown,,donna.brown@polars.io,72923,4,2020-09-24
John Terrell,,john.terrell@polars.io,66393,6,2018-08-18
Zachary Smith MD,HR,zachary.md@polars.io,83940,9,2015-08-19
Patrick Ramirez,Finance,patrick.ramirez@polars.io,130202,8,2017-03-12
Vanessa Roman,HR,vanessa.roman@polars.io,74607,8,2016-12-23
Samantha Rodriguez,Engineering,samantha.rodriguez@polars.io,165224,7,2017-11-14
Troy Allen,,troy.allen@polars.io,55432,8,2017-05-08
Michelle Johnson,HR,michelle.johnson@polars.io,70853,3,2022-06-08
Daniel Torres,,daniel.torres@polars.io,73403,3,2022-05-02
Linda Howard,Operations,linda.howard@polars.io,90312,5,2019-09-13
Lisa Miller,Marketing,lisa.miller@polars.io,133539,1,2023-08-13
Vanessa Sandoval,Operations,vanessa.sandoval@polars.io,107172,5,2020-05-20
Joan Craig,HR,joan.craig@polars.io,91379,7,2018-04-02
Teresa Black,,teresa.black@polars.io,65567,10,2014-12-21
Barry Martinez,Sales,barry.martinez@polars.io,70969,0,2025-05-12
Brian Smith,,brian.smith@polars.io,65559,2,2022-08-29
Robert Brown,,robert.brown@polars.io,57568,9,2016-05-04
Dylan Taylor,Sales,dylan.taylor@polars.io,65901,4,2021-04-16
Charles Davis,,charles.davis@polars.io,81571,9,2015-10-04
Ellen Martin DVM,Marketing,ellen.dvm@polars.io,81220,10,2015-02-24
Patricia Humphrey,Sales,patricia.humphrey@polars.io,69194,7,2017-09-11
Amanda Johnson,HR,amanda.johnson@polars.io,91566,2,2023-03-27
Dennis Matthews,Finance,dennis.matthews@polars.io,173840,9,2016-05-06
Alison Mathis,Finance,alison.mathis@polars.io,196368,2,2022-09-01
Elizabeth Martinez,Marketing,elizabeth.martinez@polars.io,113476,4,2021-04-23
Dennis Perry,Marketing,dennis.perry@polars.io,124930,5,2019-11-28
Christine Huffman,,christine.huffman@polars.io,59511,3,2022-01-05
Lindsey Johnson,HR,lindsey.johnson@polars.io,68664,1,2024-07-08
Daniel Barnes,Operations,daniel.barnes@polars.io,114256,8,2016-08-02
Heather Wright,HR,heather.wright@polars.io,69801,9,2016-05-30
Anthony Irwin,Operations,anthony.irwin@polars.io,111186,9,2015-09-15
Christopher Mullins,Sales,christopher.mullins@polars.io,89827,8,2017-05-19
Allen Jackson,Sales,allen.jackson@polars.io,86604,10,2015-05-14
Aaron Morgan,,aaron.morgan@polars.io,55078,10,2014-08-21
Charles Tucker,HR,charles.tucker@polars.io,94212,6,2019-01-10
Mr. Steven Castro,Finance,mr..castro@polars.io,125693,8,2016-12-11
Amy Rasmussen,Operations,amy.rasmussen@polars.io,132579,7,2018-01-04
Stephanie Orr MD,Engineering,stephanie.md@polars.io,197207,9,2016-05-29
Stephanie Branch,HR,stephanie.branch@polars.io,68774,4,2020-11-15
Lisa Wolfe,Finance,lisa.wolfe@polars.io,150475,1,2024-02-22
Rebecca Simmons,,rebecca.simmons@polars.io,81781,4,2021-04-12
Susan Mcclain,Sales,susan.mcclain@polars.io,55466,9,2015-10-25
Daniel Scott,Sales,daniel.scott@polars.io,89063,0,2025-01-05
Thomas Webb,Marketing,thomas.webb@polars.io,93462,5,2019-12-21
Robert Ball,Engineering,robert.ball@polars.io,133970,2,2022-12-11
Mr. Edwin Hill Jr.,Marketing,mr..jr.@polars.io,118362,4,2021-03-06
Rebecca Miller,Finance,rebecca.miller@polars.io,190268,6,2018-10-02
James Cooper,Engineering,james.cooper@polars.io,156118,10,2014-12-28
Brandon Allen,Finance,brandon.allen@polars.io,146698,6,2018-10-09
Nicole Kaiser,Finance,nicole.kaiser@polars.io,193080,7,2018-04-18
Joseph Cox,Engineering,joseph.cox@polars.io,193281,8,2016-11-13
Kenneth Walters,Engineering,kenneth.walters@polars.io,160193,9,2016-01-24
Alexis Brown,Finance,alexis.brown@polars.io,172183,2,2022-08-14
Derek Smith,Sales,derek.smith@polars.io,70058,7,2017-07-25
Timothy Roberts,Operations,timothy.roberts@polars.io,86571,3,2021-10-30
Steven Burnett,HR,steven.burnett@polars.io,82179,8,2016-09-07
Megan Bird,Marketing,megan.bird@polars.io,124863,0,2025-04-25
Julie Hernandez,HR,julie.hernandez@polars.io,60346,1,2024-05-03
William Peterson,HR,william.peterson@polars.io,99337,6,2019-06-03
Mr. David Hill,Sales,mr..hill@polars.io,72241,3,2022-01-09
Robert Ward,Sales,robert.ward@polars.io,57474,6,2018-12-25
Gina Castillo,,gina.castillo@polars.io,89144,4,2020-07-18
Lisa Gonzalez,,lisa.gonzalez@polars.io,58765,2,2022-08-24
Mary Walton,HR,mary.walton@polars.io,88768,0,2025-04-04
Alan Murphy,Finance,alan.murphy@polars.io,187915,4,2021-04-09
William Butler,Sales,william.butler@polars.io,88459,8,2016-07-26
Luis Jackson,Operations,luis.jackson@polars.io,120317,2,2022-08-06
Jennifer Jones,Sales,jennifer.jones@polars.io,78575,3,2021-08-16
Benjamin Lee,Sales,benjamin.lee@polars.io,65318,1,2024-02-26
Tiffany Davis,Finance,tiffany.davis@polars.io,172354,5,2019-08-10
Thomas Edwards,HR,thomas.edwards@polars.io,86571,9,2016-04-07
Carol James,,carol.james@polars.io,56007,1,2024-05-31
Christopher Blevins,,christopher.blevins@polars.io,73644,8,2016-09-23
Paul Reynolds,Engineering,paul.reynolds@polars.io,165544,4,2021-03-24
John Brown,,john.brown@polars.io,67748,7,2017-12-24
Brenda Lopez,,brenda.lopez@polars.io,55304,4,2021-04-19
Linda Cox,HR,linda.cox@polars.io,93176,1,2023-10-04
Mary Johnson,Sales,mary.johnson@polars.io,87975,4,2021-01-24
Brent Williams,Sales,brent.williams@polars.io,88638,4,2020-10-15
Sylvia Fields,Finance,sylvia.fields@polars.io,195352,4,2020-07-27
Jennifer Henderson,HR,jennifer.henderson@polars.io,84712,9,2015-11-14
Wesley Kennedy,Finance,wesley.kennedy@polars.io,151886,5,2019-11-26
Christopher Melton,Marketing,christopher.melton@polars.io,110193,9,2016-07-04
Robert Welch,HR,robert.welch@polars.io,67619,4,2021-06-13
Jeremy Harris,HR,jeremy.harris@polars.io,74442,10,2014-07-25
Craig Jones,Operations,craig.jones@polars.io,132439,5,2019-12-19
Jamie Hancock,Engineering,jamie.hancock@polars.io,187699,8,2017-07-14
Alexa Rodriguez,Marketing,alexa.rodriguez@polars.io,134537,4,2021-03-12
Carrie Spencer,Engineering,carrie.spencer@polars.io,132190,6,2018-08-08
Martin Walker,Marketing,martin.walker@polars.io,133809,5,2020-06-09
Matthew Burke,,matthew.burke@polars.io,66697,7,2018-02-08
Mark Montgomery,Engineering,mark.montgomery@polars.io,148647,9,2016-03-03
Haley Carter,Operations,haley.carter@polars.io,128900,10,2015-04-13
Erin Meyers,HR,erin.meyers@polars.io,73085,3,2022-03-16
Aaron Castro,Finance,aaron.castro@polars.io,154787,3,2022-03-22
Willie Lowe,Operations,willie.lowe@polars.io,134718,3,2021-09-04
Stephanie Barajas,Engineering,stephanie.barajas@polars.io,140446,1,2024-05-16
Elizabeth Barnes,Sales,elizabeth.barnes@polars.io,87287,9,2016-07-15
Gloria Finley,Finance,gloria.finley@polars.io,190972,0,2024-11-12
Danielle Delgado,Engineering,danielle.delgado@polars.io,161342,7,2017-09-27
Mitchell Flores,Finance,mitchell.flores@polars.io,156009,7,2018-04-16
Natalie Hampton,Finance,natalie.hampton@polars.io,186995,4,2020-12-26
Edward Evans,Operations,edward.evans@polars.io,129163,9,2016-05-14
Gregory Williams,Sales,gregory.williams@polars.io,89454,6,2018-11-16
Sarah Williams,,sarah.williams@polars.io,57134,8,2017-01-22
Paige Webster,HR,paige.webster@polars.io,71455,7,2018-05-18
Keith Fisher DDS,Marketing,keith.dds@polars.io,113961,7,2018-02-07
Margaret Jordan,Marketing,margaret.jordan@polars.io,80551,0,2024-08-05
Hannah Elliott,Operations,hannah.elliott@polars.io,104866,9,2016-05-28
Darrell Price,Engineering,darrell.price@polars.io,167395,9,2016-03-08
Bethany Wang,Operations,bethany.wang@polars.io,115950,4,2021-03-18
Matthew Ortega,Engineering,matthew.ortega@polars.io,181780,9,2016-01-25
Todd Torres,Engineering,todd.torres@polars.io,144105,7,2017-12-13
Nancy Martinez,Operations,nancy.martinez@polars.io,107465,5,2020-01-13
Caitlin Cummings,Finance,caitlin.cummings@polars.io,172506,4,2020-11-29
Gregory Romero,Operations,gregory.romero@polars.io,117447,2,2022-09-26
Gerald Waters,Marketing,gerald.waters@polars.io,94979,1,2024-02-29
Jason Thornton,Finance,jason.thornton@polars.io,150907,8,2016-12-09
Jonathan Benitez,Finance,jonathan.benitez@polars.io,169923,3,2022-05-04
Molly Smith,Finance,molly.smith@polars.io,139601,7,2018-07-14
Kelli Torres,Operations,kelli.torres@polars.io,107624,7,2018-05-11
David Berry,Finance,david.berry@polars.io,187765,8,2017-02-07
Lindsay Heath,Finance,lindsay.heath@polars.io,183782,4,2021-03-11
Ryan Mills,,ryan.mills@polars.io,58126,6,2019-05-29
Nicole Allen,Marketing,nicole.allen@polars.io,90704,0,2025-03-28
Shelly Brown,Finance,shelly.brown@polars.io,153330,7,2017-08-30
Paul Marshall,Sales,paul.marshall@polars.io,84481,5,2020-03-06
Rose Diaz,Engineering,rose.diaz@polars.io,167226,8,2016-10-06
Erica Brown,Finance,erica.brown@polars.io,153779,5,2020-07-07
Todd Little,HR,todd.little@polars.io,67945,5,2019-08-05
Yolanda Chen,,yolanda.chen@polars.io,68038,9,2015-09-28
